Timestamp,Host,Error_Type,Severity,Message
Sep 15 08:00:30,krill.ca-bc-01.ssmidge.xyz,fallback_to_cache,LOW,"Sep 15 08:00:30 rpki-client: .rsync/krill.ca-bc-01.ssmidge.xyz/repo: load from network failed, fallback to cache"
Sep 15 08:00:36,rpki.leitecastro.com,fallback_to_cache,LOW,"Sep 15 08:00:36 rpki-client: .rsync/rpki.leitecastro.com/repo: load from network failed, fallback to cache"
Sep 15 08:02:00,krill.rg.net,fallback_to_cache,LOW,"Sep 15 08:02:00 rpki-client: .rsync/krill.rg.net/repo: load from network failed, fallback to cache"
Sep 15 08:02:33,rpki.fengrui.link,fallback_to_cache,LOW,"Sep 15 08:02:33 rpki-client: .rsync/rpki.fengrui.link/repo: load from network failed, fallback to cache"
Sep 15 08:07:03,rpki.sailx.co,fallback_to_cache,LOW,"Sep 15 08:07:03 rpki-client: .rsync/rpki.sailx.co/repo: load from network failed, fallback to cache"
Sep 15 07:58:40,pub.krill.ausra.cloud,notification_not_modified,LOW,Sep 15 07:58:40 rpki-client: https://pub.krill.ausra.cloud/rrdp/notification.xml: notification file not modified since Wed 03 Sep 2025 01:23:15 +0000
Sep 15 07:58:42,rpki.zappiehost.com,notification_not_modified,LOW,Sep 15 07:58:42 rpki-client: https://rpki.zappiehost.com/rrdp/notification.xml: notification file not modified since Wed 03 Sep 2025 01:23:15 +0000
Sep 15 07:58:46,rpki-01.pdxnet.uk,notification_not_modified,LOW,Sep 15 07:58:46 rpki-client: https://rpki-01.pdxnet.uk/rrdp/notification.xml: notification file not modified since Thu 11 Sep 2025 00:49:40 +0000
Sep 15 07:58:49,rpki.folf.systems,notification_not_modified,LOW,Sep 15 07:58:49 rpki-client: https://rpki.folf.systems/rrdp/notification.xml: notification file not modified since Wed 03 Sep 2025 01:23:20 +0000
Sep 15 07:58:57,rpki-pp.com,notification_not_modified,LOW,Sep 15 07:58:57 rpki-client: https://rpki-pp.com/rrdp/notification.xml: notification file not modified since Sat 13 Sep 2025 16:43:52 +0000
Sep 15 07:59:04,repodepot.wildtky.com,notification_not_modified,LOW,Sep 15 07:59:04 rpki-client: https://repodepot.wildtky.com/rrdp/notification.xml: notification file not modified since Thu 11 Sep 2025 20:52:11 +0000
Sep 15 08:01:13,rpki.tools.westconnect.ca,notification_not_modified,LOW,Sep 15 08:01:13 rpki-client: https://rpki.tools.westconnect.ca/rrdp/notification.xml: notification file not modified since Sat 06 Sep 2025 01:26:47 +0000
Sep 15 08:03:26,rpki.qs.nu,notification_not_modified,LOW,Sep 15 08:03:26 rpki-client: https://rpki.qs.nu/rrdp/notification.xml: notification file not modified since Sat 13 Sep 2025 11:49:35 +0000
Sep 15 07:58:47,rpki.leitecastro.com,connection_timeout,LOW,Sep 15 07:58:47 rpki-client: https://rpki.leitecastro.com/notification.xml (23.147.168.5): connect timeout
Sep 15 07:59:04,rpki.leitecastro.com,connection_timeout,LOW,"Sep 15 07:59:04 openrsync: warning: connect timeout: 23.147.168.5, rpki.leitecastro.com"
Sep 15 08:05:39,sakuya.nat.moe,connection_timeout,LOW,Sep 15 08:05:39 rpki-client: https://sakuya.nat.moe/rrdp/notification.xml (141.193.21.22): connect timeout
Sep 15 08:00:02,repo.rpki.space,connection_timeout,LOW,"Sep 15 08:00:02 openrsync: warning: connect timeout: 188.114.97.0, repo.rpki.space"
Sep 15 08:00:17,repo.rpki.space,connection_timeout,LOW,"Sep 15 08:00:17 openrsync: warning: connect timeout: 188.114.96.0, repo.rpki.space"
Sep 15 08:00:30,krill.ca-bc-01.ssmidge.xyz,connection_timeout,LOW,"Sep 15 08:00:30 openrsync: warning: connect timeout: 170.39.49.51, krill.ca-bc-01.ssmidge.xyz"
Sep 15 08:00:36,rpki.leitecastro.com,connection_timeout,LOW,"Sep 15 08:00:36 openrsync: warning: connect timeout: 23.147.168.5, rpki.leitecastro.com"
Sep 15 08:02:18,rpki.fengrui.link,connection_timeout,LOW,"Sep 15 08:02:18 openrsync: warning: connect timeout: 188.114.97.0, rpki.fengrui.link"
Sep 15 08:02:33,rpki.fengrui.link,connection_timeout,LOW,"Sep 15 08:02:33 openrsync: warning: connect timeout: 188.114.96.0, rpki.fengrui.link"
Sep 15 08:07:03,rpki.sailx.co,connection_timeout,LOW,"Sep 15 08:07:03 openrsync: warning: connect timeout: 208.82.103.214, rpki.sailx.co"
Sep 15 07:58:47,rpki.leitecastro.com,no_route_to_host,LOW,Sep 15 07:58:47 rpki-client: https://rpki.leitecastro.com/notification.xml (2602:faa5:130::5): connect: No route to host
