Timestamp,Host,Error_Type,Severity,Message
Oct 10 09:06:39,rpki.afrinic.net,seqnum_gap,MEDIUM,Oct 10 09:06:39 rpki-client: .rrdp/2A58FCECAC1BEAAECDB0232275D0A971B146A47C3E64FEF2FA46A24F5F6B1821/rpki.afrinic.net/repository/member_repository/F368F2D0/7F4A98EA6E0511E89C0D6E4BF8AEA228/JdY-COq-fPpnhdTB1tNBFt4Vs9w.mft: seqnum gap detected #D8AB -> #D8B3
Oct 10 09:06:46,rpki.afrinic.net,seqnum_gap,MEDIUM,Oct 10 09:06:46 rpki-client: .rrdp/2A58FCECAC1BEAAECDB0232275D0A971B146A47C3E64FEF2FA46A24F5F6B1821/rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/eX2I2BPiD_-YLMdBnpabrqa_1ps.mft: seqnum gap detected #C916 -> #C918
Oct 10 09:09:57,ca.rg.net,seqnum_gap,MEDIUM,Oct 10 09:09:57 rpki-client: .rrdp/73885635ED28814800212D730AE80581FC5112C4B5804A08D55D6BDA2AFA1615/ca.rg.net/rpki/RGnet-OU/bW-_qXU9uNhGQz21NR2ansB8lr0.mft: seqnum gap detected #014DEB -> #014DED
Oct 10 09:10:09,rpki.ripe.net,seqnum_gap,MEDIUM,Oct 10 09:10:09 rpki-client: .rrdp/21D6592469DBE79FEB2922562764FD193170F173229298B9A4443FFB5C282000/rpki.ripe.net/repository/DEFAULT/86/6c0bf7-5f13-44a2-9989-8c9581d96d8f/1/WIXohML8enXRLdHepJziNJxHBn4.mft: seqnum gap detected #17A8 -> #17AA
Oct 10 09:10:18,krill.47272.net,seqnum_gap,MEDIUM,Oct 10 09:10:18 rpki-client: .rrdp/578363498B9B82561B5363A019C78F882685E2124A61654CCAC1DC7030CD570E/krill.47272.net/repo/HYEHOST/0/4ADD5466723084490EF491C619B8BC61A328A8B6.mft: seqnum gap detected #0458 -> #045B
Oct 10 09:10:24,chloe.sobornost.net,seqnum_gap,MEDIUM,Oct 10 09:10:24 rpki-client: .rrdp/436FC6BD7B32853E42FCE5FD95B31D5E3EC1C32C46B7518C2067D568E7EAC119/chloe.sobornost.net/rpki/RIPE-nljobsnijders/yqgF26w2R0m5sRVZCrbvD5cM29g.mft: seqnum gap detected #023FB7 -> #023FBB
Oct 10 09:11:43,rpki.apnic.net,seqnum_gap,MEDIUM,Oct 10 09:11:43 rpki-client: .rrdp/F7EF354526A351ADC35929CDBB4916D9B23091DB047D79B72E1608CF8109E1F6/rpki.apnic.net/member_repository/A914BC7A/4C528F78450311E2BDCA1F732979BB20/UxLzmab36w3c1RwDn4P3t6R6Xwk.mft: seqnum gap detected #34FF -> #3501
Oct 10 09:11:44,rpki.apnic.net,seqnum_gap,MEDIUM,Oct 10 09:11:44 rpki-client: .rrdp/F7EF354526A351ADC35929CDBB4916D9B23091DB047D79B72E1608CF8109E1F6/rpki.apnic.net/member_repository/A914781A/D52142701D9B11E2B821FD8908B02CD2/TXI5VSQ66I1VJDmvjk4KCcj2WQ0.mft: seqnum gap detected #3509 -> #350B
Oct 10 09:11:46,rpki.apnic.net,seqnum_gap,MEDIUM,Oct 10 09:11:46 rpki-client: .rrdp/F7EF354526A351ADC35929CDBB4916D9B23091DB047D79B72E1608CF8109E1F6/rpki.apnic.net/member_repository/A91B3247/32044BFE71EE11F093C22E18C4F9AE02/Ddq78x7saHZu9mmvlzUkDDiZNFk.mft: seqnum gap detected #2B -> #2D
Oct 10 09:11:58,krill.47272.net,seqnum_gap,MEDIUM,Oct 10 09:11:58 rpki-client: .rrdp/578363498B9B82561B5363A019C78F882685E2124A61654CCAC1DC7030CD570E/krill.47272.net/repo/HYEHOST/5/C3CF41898936CB9C573DB1EAAB94C6E669951FD7.mft: seqnum gap detected #0454 -> #0457
Oct 10 09:17:25,rpki.cnnic.cn,seqnum_gap,MEDIUM,Oct 10 09:17:25 rpki-client: .rrdp/B8F24A9D701C0FA9BC46D97164BAF1C97CC608A7211B021A0CC972EA5BFCD2AC/rpki.cnnic.cn/rpki/A9162E3D0000/76/LiZtw-rYDrJdSYWKZNwe8cihuUI.mft: seqnum gap detected #0E08 -> #0E0A
